epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96755,1.51911,3.14045,1.30994,0.00769,0.67742,0.20043,0.12822,0.90023,2.88835,0.91766,4e-05,4e-05,4e-05
2,6.14384,1.41051,2.89979,1.35353,0.00824,0.70968,0.26147,0.17726,0.92258,2.86761,0.91376,7.525e-05,7.525e-05,7.525e-05
3,9.2115,1.49529,2.8143,1.3085,0.00827,0.70968,0.28669,0.22386,0.9406,2.85349,0.91834,8.08e-05,8.08e-05,8.08e-05
4,12.51,1.27443,2.4819,1.17573,0.00829,0.70968,0.28205,0.23563,0.96768,2.82351,0.92357,5.665e-05,5.665e-05,5.665e-05
