epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94675,1.54195,3.04584,1.36035,0.00766,0.67742,0.189,0.11893,0.88681,2.89063,0.9165,4e-05,4e-05,4e-05
2,5.85163,1.30146,2.90163,1.24855,0.00821,0.70968,0.22023,0.17286,0.91681,2.88169,0.91176,6.7e-05,6.7e-05,6.7e-05
3,8.7623,1.22969,2.70922,1.21217,0.00876,0.74194,0.27693,0.19815,0.95624,2.88276,0.91706,5.44e-05,5.44e-05,5.44e-05
