epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.79874,1.39655,2.96886,1.27111,0.00767,0.74194,0.19909,0.1672,0.91211,2.93052,0.98229,4e-05,4e-05,4e-05
2,9.71479,1.20508,2.78349,1.21663,0.008,0.77419,0.27435,0.23576,0.91996,2.92463,0.98815,8.02e-05,8.02e-05,8.02e-05
3,14.5722,1.20495,2.56094,1.17316,0.008,0.77419,0.31486,0.26046,0.87917,2.87265,0.99942,9.664e-05,9.664e-05,9.664e-05
4,19.4911,1.30327,2.37403,1.2242,0.008,0.77419,0.34259,0.28244,0.94479,2.83302,1.0349,8.932e-05,8.932e-05,8.932e-05
5,24.8749,1.30989,2.24587,1.21503,0.008,0.77419,0.3516,0.29048,0.94329,2.79997,1.0306,5.824e-05,5.824e-05,5.824e-05
