epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.98216,1.51911,3.14045,1.30994,0.00769,0.67742,0.20043,0.12822,0.90023,2.88835,0.91766,4e-05,4e-05,4e-05
2,5.92219,1.39671,2.90942,1.35121,0.00815,0.70968,0.251,0.17287,0.90772,2.87649,0.91263,5.05e-05,5.05e-05,5.05e-05
